SYMBOL,DATE,PCLOSE,OPEN,HIGH,LOW,CLOSE,VWAP,VOLUME,AMOUNT,BMK_CLOSE,BMK_OPEN
SZ300333,2014-01-02,18.41,18.25,19.47,18.18,19.42,19.0957865476363,4973297,94969017.95,1962.7502,1962.7502
SZ300333,2014-01-03,19.42,19.26,19.63,18.95,19.14,19.2465629233931,4644767,89395800.33,1945.0828,1945.0828
SZ300333,2014-01-06,19.14,19.09,19.14,18.11,18.23,18.5387689427291,3764967,69797853.29,1897.1399,1897.1399
SZ300333,2014-01-07,18.23,18.2,18.9,18,18.88,18.5383679659496,3661866,67885019.35,1904.3422,1904.3422
SZ300333,2014-01-08,18.88,18.96,19.75,18.88,19.42,19.4241885247816,5951451,115602106.22,1912.1858,1912.1858
SZ300333,2014-01-09,19.42,19.36,19.5,18.46,18.47,19.0319595963032,4938558,93990436.32,1890.2283,1890.2283
SZ300333,2014-01-10,18.47,18.42,20,18.2,19.1,19.2700264411947,6185424,119193284.03,1867,1867
SZ300333,2014-01-13,19.1,19.15,20.2,19.14,19.96,19.8415302952973,8076402,160248174.96,1859.9227,1859.9227
SZ300333,2014-01-14,19.96,19.88,20.38,19.52,20.3,19.946120352211,6201282,123691517.11,1887.0536,1887.0536
SZ300333,2014-01-15,20.3,20.13,20.24,19.76,20.23,19.9541905567447,5413684,108025682.15,1892.736,1892.736
SZ300333,2014-01-16,20.23,20.1,20.59,19.64,19.83,20.0162640965368,5269202,105469738.81,1893.9219,1893.9219
SZ300333,2014-01-17,19.83,19.65,20.37,19.54,19.73,20.0123867125393,4117777,82406545.72,1870.7596,1870.7596
SZ300333,2014-01-20,19.73,19.72,19.84,18.93,19.24,19.3636311842695,3684550,71346267.28,1858.25,1858.25
SZ300333,2014-01-21,19.24,19.24,20.11,19.18,20.1,19.6408684796734,4536295,89096773.48,1882.236,1882.236
SZ300333,2014-01-22,20.1,19.99,20.46,19.73,20.22,20.1421844981654,5800307,116830853.74,1928.3073,1928.3073
SZ300333,2014-01-23,20.22,20.22,21.03,20.01,20.7,20.6751559323168,7261067,150123692.46,1931.2711,1931.2711
SZ300333,2014-01-24,20.7,20.7,21.13,20.5,20.72,20.8122416398832,5638109,117341686.9,1950.3827,1950.3827
SZ300333,2014-01-27,20.72,20.8,21.67,20.62,20.71,21.1755204458705,6328295,134004940.16,1935.3616,1935.3616
SZ300333,2014-01-28,20.71,20,20.47,19.26,19.79,19.8092405955121,6432514,127423217.46,1934.6487,1934.6487
SZ300333,2014-01-29,19.79,19.75,20.39,19.53,20.22,19.960878621475,4160563,83048493.04,1948.5147,1948.5147
SZ300333,2014-01-30,20.22,20.18,20.68,19.75,19.83,20.2110901327761,3577977,72314815.64,1933.1034,1933.1034
SZ300333,2014-02-07,19.83,19.7,20.98,19.42,20.89,20.4064876266307,4616770,94212059.88,1956.0145,1956.0145
SZ300333,2014-02-10,20.89,20.91,21.85,20.81,21.58,21.2965068683157,6254299,133194721.61,2006.24,2006.24
SZ300333,2014-02-11,21.58,21.4,22.2,20.84,22.2,21.4538747391545,6907825,148199612.27,2014.6746,2014.6746
SZ300333,2014-02-12,22.2,22.08,22.98,21.79,22.2,22.3689016419602,6084983,136114386.22,2029.2604,2029.2604
SZ300333,2014-02-13,22.2,22.19,22.48,21.43,21.77,21.8950954390267,4469660,97863632.28,2006.0322,2006.0322
SZ300333,2014-02-14,21.77,22.22,23.23,22.01,22.84,22.7126872259857,6694677,152054104.78,2032.1069,2032.1069
SZ300333,2014-02-17,22.84,22.89,23.72,22.5,23.3,23.2172231566442,5639850,130941656.02,2060.5355,2060.5355
SZ300333,2014-02-18,23.3,23.49,23.49,22.81,23.03,23.0593783391746,3856492,88928308.09,2047.6518,2047.6518
SZ300333,2014-02-19,23.03,23.03,23.25,22.25,22.8,22.6562968954379,3933405,89116391.49,2059.2739,2059.2739
SZ300333,2014-02-20,22.8,22.85,23.07,21.65,21.65,22.0395421734249,4149497,91453014.13,2034.2812,2034.2812
SZ300333,2014-02-21,21.65,21.7,22.1,21.33,21.9,21.7250004197472,3144750,68319695.07,2020.3659,2020.3659
SZ300333,2014-02-24,21.9,21.82,22.53,21.76,22.32,22.175753243171,3277348,72677660.54,2001.0345,2001.0345
SZ300333,2014-02-25,22.32,22.7,23.38,20.11,20.3,21.9701780423009,7399983,162578944.02,1936.8887,1936.8887
SZ300333,2014-02-26,20.3,20.28,20.66,19.61,20.55,20.2129320064216,3678215,74347509.7,1945.3667,1945.3667
SZ300333,2014-02-27,20.55,20.66,22.22,20.5,21.9,21.393304704474,7351789,157279062.2,1926.774,1926.774
SZ300333,2014-02-28,21.9,22.55,22.8,21.41,22.05,22.0191607429515,7098445,156301801.48,1947.8166,1947.8166
SZ300333,2014-03-03,22.05,22.01,22.97,21.7,22.72,22.4076184849513,7383195,165439816.76,1974.3948,1974.3948
SZ300333,2014-03-04,22.72,22.9,22.9,22,22.68,22.464909446047,5110434,114805437.04,1971.9983,1971.9983
SZ300333,2014-03-05,22.68,22.62,23.22,22.42,22.68,22.8098526389478,4448326,101465660.55,1960.6898,1960.6898
SZ300333,2014-03-06,22.68,23.88,23.88,22.6,22.7,23.15807234527,4266319,98799724.05,1965.337,1965.337
SZ300333,2014-03-07,22.7,22.75,22.97,21.92,22.11,22.3082221725652,3893370,86854162.96,1959.344,1959.344
SZ300333,2014-03-10,22.11,22.39,23.08,21.93,22.42,22.5601458517795,7241804,163376154.47,1891.9168,1891.9168
SZ300333,2014-03-11,22.42,22.5,22.7,20.89,21.09,21.5257649339467,4204180,90498190.42,1895.5881,1895.5881
SZ300333,2014-03-12,21.09,21.25,21.32,20.21,20.93,20.7350080779756,2585425,53608808.26,1896.2831,1896.2831
SZ300333,2014-03-13,20.93,20.9,21.5,20.55,21.5,21.172785699857,1772262,37523723.53,1920.0102,1920.0102
SZ300333,2014-03-14,21.5,21.2,21.47,20.78,21.44,21.1951635200177,1409277,29869856.46,1909.798,1909.798
SZ300333,2014-03-17,21.44,21.5,23.28,21.32,23,22.474781528009,6274191,141011071.99,1939.873,1939.873
SZ300333,2014-03-18,23,23,24.15,22.8,22.96,23.2758335502,8150169,189701977.05,1943.5423,1943.5423
SZ300333,2014-03-19,22.96,23,23.49,22.56,23,23.0943854226398,2935017,67782413.82,1935.2747,1935.2747
SZ300333,2014-03-20,23,22.98,24.09,22.39,22.39,23.3015718355106,6045130,140861030.95,1893.9327,1893.9327
SZ300333,2014-03-21,22.39,22.55,22.9,21.3,22.58,22.041001490974,3210653,70766007.56,1941.3808,1941.3808
SZ300333,2014-03-24,22.58,22.41,23.53,21.75,23.33,22.7401312719972,4132336,93969863.1,1953.1417,1953.1417
SZ300333,2014-03-25,23.33,23.33,24.5,23.07,23.57,23.7561094278148,5139717,122099679.48,1952.5008,1952.5008
SZ300333,2014-03-26,23.57,23.82,24.11,21.21,21.21,21.8688974991132,17007687,371939363.7,1955.1008,1955.1008
SZ300333,2014-03-27,21.21,20.77,20.77,19.5,19.54,20.145159903075,7279441,146645502.95,1930.0987,1930.0987
SZ300333,2014-03-28,19.54,19.1,19.55,19,19.35,19.2390347797264,3629327,69824748.38,1905.7715,1905.7715
SZ300333,2014-03-31,19.35,19.34,19.45,18.51,19.03,18.9297628087388,2800061,53004490.58,1896.1998,1896.1998
SZ300333,2014-04-01,19.03,18.95,19.25,18.88,19.18,19.0940985935579,2229882,42577586.76,1919.0784,1919.0784
SZ300333,2014-04-02,19.18,19.2,19.22,18.21,18.54,18.5841470767513,3389414,62989368.28,1923.92,1923.92
SZ300333,2014-04-03,18.54,18.48,18.8,18.29,18.58,18.565241726587,1908644,35434437.23,1916.5418,1916.5418
SZ300333,2014-04-04,18.58,18.45,18.74,18.33,18.66,18.6062674501717,1485802,27645229.39,1936.6384,1936.6384
SZ300333,2014-04-08,18.66,18.5,18.64,18.25,18.53,18.4275878921639,2227417,41045922.54,1967.6639,1967.6639
SZ300333,2014-04-09,18.53,18.5,19.43,18.5,18.84,18.95620255851,4829686,91552506.11,1978.4163,1978.4163
SZ300333,2014-04-10,18.84,18.85,19.15,18.71,18.93,18.9674545495422,3113555,59056212.95,1998.0054,1998.0054
SZ300333,2014-04-11,18.93,18.7,18.7,18.29,18.31,18.4483595425073,2943435,54301547.17,1991.9933,1991.9933
SZ300333,2014-04-14,18.31,18.31,18.55,18.31,18.45,18.4173040055218,1703798,31379365.73,1998.3193,1998.3193
SZ300333,2014-04-15,18.45,18.44,18.78,18.44,18.54,18.61076998517,1636551,30457474.23,1975.4407,1975.4407
SZ300333,2014-04-16,18.54,18.64,18.64,18.06,18.22,18.2712434316254,2085181,38098849.65,1977.1319,1977.1319
SZ300333,2014-04-17,18.22,18.2,18.39,18.2,18.31,18.3122630953191,1234716,22610444.24,1973.8321,1973.8321
